id,name,set,number,total
"tk-xy-sy-29","Granbull","XY trainer Kit (Sylveon)","29","30"
"tk-xy-n-29","Switch","XY trainer Kit (Noivern)","29","30"
"tk-xy-sy-3","Fairy Energy","XY trainer Kit (Sylveon)","3","30"
"tk-xy-n-3","Arbok","XY trainer Kit (Noivern)","3","30"
"tk-xy-sy-30","Sylveon","XY trainer Kit (Sylveon)","30","30"
"tk-xy-n-30","Noivern","XY trainer Kit (Noivern)","30","30"
"tk-xy-sy-4","Switch","XY trainer Kit (Sylveon)","4","30"
"tk-xy-n-4","Bunnelby","XY trainer Kit (Noivern)","4","30"
"tk-xy-sy-5","Fairy Energy","XY trainer Kit (Sylveon)","5","30"
"tk-xy-n-5","Psychic Energy","XY trainer Kit (Noivern)","5","30"
"tk-xy-sy-6","Fairy Energy","XY trainer Kit (Sylveon)","6","30"
"tk-xy-n-6","Psychic Energy","XY trainer Kit (Noivern)","6","30"
"tk-xy-sy-7","Fairy Energy","XY trainer Kit (Sylveon)","7","30"
"tk-xy-n-7","Psychic Energy","XY trainer Kit (Noivern)","7","30"
"tk-xy-sy-8","Fairy Energy","XY trainer Kit (Sylveon)","8","30"
"tk-xy-n-8","Psychic Energy","XY trainer Kit (Noivern)","8","30"
"tk-xy-sy-9","Fairy Energy","XY trainer Kit (Sylveon)","9","30"
"tk-xy-n-9","Psychic Energy","XY trainer Kit (Noivern)","9","30"
"xya-107a","Professor Sycamore","Yellow A Alternate","107a","6"
"xya-24a","M Manectric-EX","Yellow A Alternate","24a","6"
"xya-28a","Jolteon-EX","Yellow A Alternate","28a","6"
"xya-54a","Zygarde-EX","Yellow A Alternate","54a","6"
"xya-55a","M Lucario-EX","Yellow A Alternate","55a","6"
"xya-92a","Trainers’ Mail","Yellow A Alternate","92a","6"
"tk-bw-z-1","Purrloin","BW trainer Kit (Zoroark)","1","30"
"tk-bw-e-1","Lillipup","BW trainer Kit (Excadrill)","1","30"
"tk-bw-z-10","Darkness Energy","BW trainer Kit (Zoroark)","10","30"
"tk-bw-e-10","Fighting Energy","BW trainer Kit (Excadrill)","10","30"
"tk-bw-z-11","PlusPower","BW trainer Kit (Zoroark)","11","30"
"tk-bw-e-11","Timburr","BW trainer Kit (Excadrill)","11","30"
"tk-bw-z-12","Patrat","BW trainer Kit (Zoroark)","12","30"
"tk-bw-e-12","Audino","BW trainer Kit (Excadrill)","12","30"
"tk-bw-z-13","Zorua","BW trainer Kit (Zoroark)","13","30"
"tk-bw-e-13","Drilbur","BW trainer Kit (Excadrill)","13","30"
"tk-bw-z-14","Pidove","BW trainer Kit (Zoroark)","14","30"
"tk-bw-e-14","Gurdurr","BW trainer Kit (Excadrill)","14","30"
"tk-bw-z-15","Tranquill","BW trainer Kit (Zoroark)","15","30"
"tk-bw-e-15","Potion","BW trainer Kit (Excadrill)","15","30"
"tk-bw-z-16","Energy Retrieval","BW trainer Kit (Zoroark)","16","30"
"tk-bw-e-16","PlusPower","BW trainer Kit (Excadrill)","16","30"
"tk-bw-z-17","Zoroark","BW trainer Kit (Zoroark)","17","30"
"tk-bw-e-17","Excadrill","BW trainer Kit (Excadrill)","17","30"
"tk-bw-z-18","Pokémon Communication","BW trainer Kit (Zoroark)","18","30"
"tk-bw-e-18","Audino","BW trainer Kit (Excadrill)","18","30"
"tk-bw-z-19","Minccino","BW trainer Kit (Zoroark)","19","30"
"tk-bw-e-19","Herdier","BW trainer Kit (Excadrill)","19","30"
"tk-bw-z-2","Watchog","BW trainer Kit (Zoroark)","2","30"
"tk-bw-e-2","Fighting Energy","BW trainer Kit (Excadrill)","2","30"
"tk-bw-z-20","Darkness Energy","BW trainer Kit (Zoroark)","20","30"
"tk-bw-e-20","Fighting Energy","BW trainer Kit (Excadrill)","20","30"
"tk-bw-z-21","Pidove","BW trainer Kit (Zoroark)","21","30"
"tk-bw-e-21","Energy Search","BW trainer Kit (Excadrill)","21","30"
"tk-bw-z-22","Darkness Energy","BW trainer Kit (Zoroark)","22","30"
"tk-bw-e-22","Fighting Energy","BW trainer Kit (Excadrill)","22","30"
"tk-bw-z-23","Zorua","BW trainer Kit (Zoroark)","23","30"
"tk-bw-e-23","Potion","BW trainer Kit (Excadrill)","23","30"
"tk-bw-z-24","Darkness Energy","BW trainer Kit (Zoroark)","24","30"
"tk-bw-e-24","Pokémon Communication","BW trainer Kit (Excadrill)","24","30"
"tk-bw-z-25","Purrloin","BW trainer Kit (Zoroark)","25","30"
"tk-bw-e-25","Drilbur","BW trainer Kit (Excadrill)","25","30"
"tk-bw-z-26","Darkness Energy","BW trainer Kit (Zoroark)","26","30"
"tk-bw-e-26","Fighting Energy","BW trainer Kit (Excadrill)","26","30"
"tk-bw-z-27","Energy Search","BW trainer Kit (Zoroark)","27","30"
"tk-bw-e-27","Lillipup","BW trainer Kit (Excadrill)","27","30"
"tk-bw-z-28","Darkness Energy","BW trainer Kit (Zoroark)","28","30"
"tk-bw-e-28","Fighting Energy","BW trainer Kit (Excadrill)","28","30"
"tk-bw-z-29","Patrat","BW trainer Kit (Zoroark)","29","30"
"tk-bw-e-29","Timburr","BW trainer Kit (Excadrill)","29","30"
"tk-bw-z-3","Darkness Energy","BW trainer Kit (Zoroark)","3","30"
"tk-bw-e-3","Fighting Energy","BW trainer Kit (Excadrill)","3","30"
"tk-bw-z-30","Zoroark","BW trainer Kit (Zoroark)","30","30"
"tk-bw-e-30","Excadrill","BW trainer Kit (Excadrill)","30","30"
"tk-bw-z-4","Minccino","BW trainer Kit (Zoroark)","4","30"
"tk-bw-e-4","Energy Switch","BW trainer Kit (Excadrill)","4","30"
"tk-bw-z-5","Darkness Energy","BW trainer Kit (Zoroark)","5","30"
"tk-bw-e-5","Fighting Energy","BW trainer Kit (Excadrill)","5","30"
"tk-bw-z-6","Darkness Energy","BW trainer Kit (Zoroark)","6","30"
"tk-bw-e-6","Fighting Energy","BW trainer Kit (Excadrill)","6","30"
"tk-bw-z-7","Darkness Energy","BW trainer Kit (Zoroark)","7","30"
"tk-bw-e-7","Fighting Energy","BW trainer Kit (Excadrill)","7","30"
"tk-bw-z-8","Darkness Energy","BW trainer Kit (Zoroark)","8","30"
"tk-bw-e-8","Fighting Energy","BW trainer Kit (Excadrill)","8","30"
"tk-bw-z-9","Darkness Energy","BW trainer Kit (Zoroark)","9","30"
"tk-bw-e-9","Fighting Energy","BW trainer Kit (Excadrill)","9","30"
"tk-hs-r-1","Moomoo Milk","HS trainer Kit (Raichu)","1","30"
"tk-hs-g-1","Totodile","HS trainer Kit (Gyarados)","1","30"
"tk-hs-r-10","Lightning Energy","HS trainer Kit (Raichu)","10","30"
"tk-hs-g-10","Water Energy","HS trainer Kit (Gyarados)","10","30"
"tk-hs-r-11","Lightning Energy","HS trainer Kit (Raichu)","11","30"
"tk-hs-g-11","Water Energy","HS trainer Kit (Gyarados)","11","30"
"tk-hs-r-12","Meowth","HS trainer Kit (Raichu)","12","30"
"tk-hs-g-12","Magikarp","HS trainer Kit (Gyarados)","12","30"
"tk-hs-r-13","Mareep","HS trainer Kit (Raichu)","13","30"
"tk-hs-g-13","Croconaw","HS trainer Kit (Gyarados)","13","30"
"tk-hs-r-14","Lightning Energy","HS trainer Kit (Raichu)","14","30"
"tk-hs-g-14","Totodile","HS trainer Kit (Gyarados)","14","30"
"tk-hs-r-15","Lightning Energy","HS trainer Kit (Raichu)","15","30"
"tk-hs-g-15","Marill","HS trainer Kit (Gyarados)","15","30"
"tk-hs-r-16","Pikachu","HS trainer Kit (Raichu)","16","30"
"tk-hs-g-16","Water Energy","HS trainer Kit (Gyarados)","16","30"
"tk-hs-r-17","Flaaffy","HS trainer Kit (Raichu)","17","30"
"tk-hs-g-17","Croconaw","HS trainer Kit (Gyarados)","17","30"
"tk-hs-r-18","Lightning Energy","HS trainer Kit (Raichu)","18","30"
"tk-hs-g-18","Bill","HS trainer Kit (Gyarados)","18","30"
"tk-hs-r-19","Raichu","HS trainer Kit (Raichu)","19","30"
"tk-hs-g-19","Magikarp","HS trainer Kit (Gyarados)","19","30"
"tk-hs-r-2","Pikachu","HS trainer Kit (Raichu)","2","30"
"tk-hs-g-2","Water Energy","HS trainer Kit (Gyarados)","2","30"
"tk-hs-g-20","Gyarados","HS trainer Kit (Gyarados)","20","30"
"tk-hs-r-20","Mareep","HS trainer Kit (Raichu)","20","30"
"tk-hs-r-21","Copycat","HS trainer Kit (Raichu)","21","30"
"tk-hs-g-21","Energy Switch","HS trainer Kit (Gyarados)","21","30"
"tk-hs-r-22","Pokémon Collector","HS trainer Kit (Raichu)","22","30"
"tk-hs-g-22","Pokémon Communication","HS trainer Kit (Gyarados)","22","30"
"tk-hs-r-23","Lightning Energy","HS trainer Kit (Raichu)","23","30"
"tk-hs-g-23","Poké Ball","HS trainer Kit (Gyarados)","23","30"
"tk-hs-r-24","Switch","HS trainer Kit (Raichu)","24","30"
"tk-hs-g-24","Marill","HS trainer Kit (Gyarados)","24","30"
"tk-hs-r-25","Poké Ball","HS trainer Kit (Raichu)","25","30"
"tk-hs-g-25","Professor Elm's Training Method","HS trainer Kit (Gyarados)","25","30"
"tk-hs-r-26","Moomoo Milk","HS trainer Kit (Raichu)","26","30"
"tk-hs-g-26","Water Energy","HS trainer Kit (Gyarados)","26","30"
"tk-hs-r-27","Pokémon Collector","HS trainer Kit (Raichu)","27","30"
"tk-hs-g-27","Pokémon Communication","HS trainer Kit (Gyarados)","27","30"
"tk-hs-r-28","Lightning Energy","HS trainer Kit (Raichu)","28","30"
"tk-hs-g-28","Switch","HS trainer Kit (Gyarados)","28","30"
"tk-hs-r-29","Energy Switch","HS trainer Kit (Raichu)","29","30"
"tk-hs-g-29","Water Energy","HS trainer Kit (Gyarados)","29","30"
"tk-hs-r-3","Flaaffy","HS trainer Kit (Raichu)","3","30"
"tk-hs-g-3","Water Energy","HS trainer Kit (Gyarados)","3","30"
"tk-hs-r-30","Raichu","HS trainer Kit (Raichu)","30","30"
"tk-hs-g-30","Gyarados","HS trainer Kit (Gyarados)","30","30"
"tk-hs-r-4","Meowth","HS trainer Kit (Raichu)","4","30"
"tk-hs-g-4","Water Energy","HS trainer Kit (Gyarados)","4","30"
"tk-hs-r-5","Lightning Energy","HS trainer Kit (Raichu)","5","30"
"tk-hs-g-5","Bill","HS trainer Kit (Gyarados)","5","30"
"tk-hs-r-6","Lightning Energy","HS trainer Kit (Raichu)","6","30"
"tk-hs-g-6","Water Energy","HS trainer Kit (Gyarados)","6","30"
"tk-hs-r-7","Lightning Energy","HS trainer Kit (Raichu)","7","30"
"tk-hs-g-7","Water Energy","HS trainer Kit (Gyarados)","7","30"
"tk-hs-r-8","Lightning Energy","HS trainer Kit (Raichu)","8","30"
"tk-hs-g-8","Water Energy","HS trainer Kit (Gyarados)","8","30"
"tk-hs-r-9","Lightning Energy","HS trainer Kit (Raichu)","9","30"
"tk-hs-g-9","Water Energy","HS trainer Kit (Gyarados)","9","30"
"tk-dp-l-1","Geodude","DP trainer Kit (Lucario)","1","11"
"tk-dp-m-1","Buizel","DP trainer Kit (Manaphy)","1","12"
"tk-dp-l-10","Quick Ball","DP trainer Kit (Lucario)","10","11"
"tk-dp-m-10","Energy Search","DP trainer Kit (Manaphy)","10","12"
"tk-dp-l-11","Fighting Energy","DP trainer Kit (Lucario)","11","11"
"tk-dp-m-11","Potion","DP trainer Kit (Manaphy)","11","12"
"tk-dp-m-12","Water Energy","DP trainer Kit (Manaphy)","12","12"
"tk-dp-l-2","Graveler","DP trainer Kit (Lucario)","2","11"
"tk-dp-m-2","Floatzel","DP trainer Kit (Manaphy)","2","12"
"tk-dp-l-3","Lucario","DP trainer Kit (Lucario)","3","11"
"tk-dp-m-3","Goldeen","DP trainer Kit (Manaphy)","3","12"
"tk-dp-l-4","Machoke","DP trainer Kit (Lucario)","4","11"
"tk-dp-m-4","Manaphy","DP trainer Kit (Manaphy)","4","12"
"tk-dp-l-5","Machop","DP trainer Kit (Lucario)","5","11"
"tk-dp-m-5","Piplup","DP trainer Kit (Manaphy)","5","12"
"tk-dp-l-6","Riolu","DP trainer Kit (Lucario)","6","11"
"tk-dp-m-6","Prinplup","DP trainer Kit (Manaphy)","6","12"
"tk-dp-l-7","Starly","DP trainer Kit (Lucario)","7","11"
"tk-dp-m-7","Seaking","DP trainer Kit (Manaphy)","7","12"
"tk-dp-l-8","Energy Search","DP trainer Kit (Lucario)","8","11"
"tk-dp-m-8","Totodile","DP trainer Kit (Manaphy)","8","12"
"tk-dp-l-9","Potion","DP trainer Kit (Lucario)","9","11"
"tk-dp-m-9","Dusk Ball","DP trainer Kit (Manaphy)","9","12"
"exu-%3F","Unown","Unseen Forces Unown Collection","%3F","28"
"miscp-001","Ancient Mew","Miscellaneous Promos","001","1"
